#node1	node2
STAT1	TBCE
STAT1	TCF4
STAT1	TCF7L2
STAT1	TCIRG1
STAT1	TEAD4
STAT1	TFE3
STAT1	TFG
STAT1	TGFBR2
STAT1	TIMM10
STAT1	TM2D2
STAT1	TM2D3
STAT1	TMCO6
STAT1	TMEM140
STAT1	TMEM209
STAT1	TMEM30A
STAT1	TMEM50A
STAT1	TMEM59
STAT1	TMEM62
STAT1	TMPO
STAT1	TNFAIP1
STAT1	TNFSF10
STAT1	TNFSF9
STAT1	TOP1
STAT1	TOR1AIP1
STAT1	TOR3A
STAT1	TPK1
STAT1	TPST1
STAT1	TRIM14
STAT1	TRIM22
STAT1	TRIM26
STAT1	TRIM5
STAT1	TRIP12
STAT1	TRPT1
STAT1	TSEN34
STAT1	TSPAN4
STAT1	TTBK2
STAT1	TTC23
STAT1	TTC38
STAT1	TUBB3
STAT1	TUT1
STAT1	TXN
STAT1	UBA7
STAT1	UBE2D1
STAT1	UBE2Q1
STAT1	UBR1
STAT1	UBXN8
STAT1	UCHL5
STAT1	USP18
STAT1	USP19
STAT1	USP32
STAT1	VGLL4
STAT1	VIM
STAT1	VNN3
STAT1	VRK3
STAT1	VTN
STAT1	WDR45
STAT1	WDR74
STAT1	WHAMM
STAT1	WSB1
STAT1	XAF1
STAT1	YIPF1
STAT1	YPEL2
STAT1	YTHDF1
STAT1	YWHAG
STAT1	ZBTB42
STAT1	ZC3H4
STAT1	ZC3HAV1
STAT1	ZFAS1
STAT1	ZNF107
STAT1	ZNF223
STAT1	ZNF24
STAT1	ZNF292
STAT1	ZNF302
STAT1	ZNF331
STAT1	ZNF337
STAT1	ZNF460
STAT1	ZNF512
STAT1	ZNF582
STAT1	ZNF672
STAT1	ZNF687
STAT1	ZNF775
STAT1	ZNF787
STAT1	ZNHIT6
STAT1	ZWILCH
