Symbol	Motif	Target	Shape	colr
PSMB10	ISRE	IRF1	ellipse	#fdffb6
PRRG4	ISRE	IRF1	ellipse	#fdffb6
PRRC2C	composite	IRF1	rectangle	#fdffb6
PCNA	ISRE	IRF1	ellipse	#fdffb6
PANX1	ISRE	IRF1	ellipse	#fdffb6
OTUD4	ISRE	IRF1	ellipse	#fdffb6
OPTN	ISRE	IRF1	ellipse	#fdffb6
NEDD1	ISRE	IRF1	ellipse	#fdffb6
KDSR	ISRE	IRF1	ellipse	#fdffb6
CTSO	composite	IRF1	rectangle	#fdffb6
CASP1	composite	IRF1	rectangle	#fdffb6
C5orf15	ISRE	IRF1	ellipse	#fdffb6
BTN3A3	ISRE	IRF1	ellipse	#fdffb6
BTN3A2	ISRE	IRF1	ellipse	#fdffb6
BTN3A1	ISRE	IRF1	ellipse	#fdffb6
APOL1	composite	IRF1	rectangle	#fdffb6
AP5Z1	ISRE	IRF1	ellipse	#fdffb6
AIDA	ISRE	IRF1	ellipse	#fdffb6
ACSL5	ISRE	IRF1	ellipse	#fdffb6
UBE2L6	composite	STAT1+STAT2+IRF9+IRF1	rectangle	#ffadad
TRIM69	composite	STAT1+STAT2+IRF9	rectangle	#ffd6a5
A2M	GAS	STAT1+STAT2	diamond	#caffbf
CCND1	ISRE	STAT1+STAT2+IRF9+IRF1	ellipse	#ffadad
