Symbol	Motif	col	Target	Shape
OGFR	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
MITD1	GAS	#caffbf	STAT1 + STAT2	diamond
OPTN	ISRE	#fdffb6	IRF1	ellipse
MTPN	GAS	#9bf6ff	STAT1	diamond
OTUD4	ISRE	#fdffb6	IRF1	ellipse
PANX1	ISRE	#fdffb6	IRF1	ellipse
NAMPT	GAS	#caffbf	STAT1 + STAT2	diamond
PARP10	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
PCNA	ISRE	#fdffb6	IRF1	ellipse
NFKB2	GAS	#9bf6ff	STAT1	diamond
NFKBIZ	GAS	#99d8c9	STAT1 + STAT2 + IRF1	diamond
NNMT	GAS	#9bf6ff	STAT1	diamond
PNPT1	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
PRKD2	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
NUCB1	GAS	#caffbf	STAT1 + STAT2	diamond
PRRG4	ISRE	#fdffb6	IRF1	ellipse
PSMB10	ISRE	#fdffb6	IRF1	ellipse
OSMR	GAS	#caffbf	STAT1 + STAT2	diamond
PDE4D	GAS	#9bf6ff	STAT1	diamond
PSME1	ISRE	#c994c7	STAT2 + IRF1	ellipse
PLEKHB2	GAS	#caffbf	STAT1 + STAT2	diamond
RBCK1	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
RBM43	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
PROS1	GAS	#caffbf	STAT1 + STAT2	diamond
PSMB3	GAS	#9bf6ff	STAT1	diamond
RPS12	ISRE	#ffd6a5	STAT1 + STAT2 + IRF9	ellipse
RAB27A	GAS	#9bf6ff	STAT1	diamond
RAD1	GAS	#9bf6ff	STAT1	diamond
SEC16B	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
RAP1A	GAS	#9bf6ff	STAT1	diamond
SHISA5	composite	#ffadad	STAT1+STAT2+IRF9+IRF1	rectangle
SLC15A3	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
RBM42	GAS	#9bf6ff	STAT1	diamond
SLFN12	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
RBM7	GAS	#99d8c9	STAT1 + STAT2 + IRF1	diamond
SMARCA5	ISRE	#ffadad	STAT1+STAT2+IRF9+IRF1	ellipse
RBP4	GAS	#9bf6ff	STAT1	diamond
